ID	SN	ssim	z_ssim
0	nan	nan	nan
1	0.41049544003368876	0.2826877339485977	-0.7053070449728099
2	0.49472457427950156	0.5421304050892772	0.851477620629744
3	0.5304248167236673	0.49045857846892343	0.5414210406054734
4	0.4247878468933065	0.4689057873504915	0.41209360743270873
5	0.4559340270216696	0.41267867837612776	0.07470307465103983
6	0.4673612572964936	0.44364565835603254	0.2605203088044623
7	0.46212926126103665	0.3123734046741129	-0.5271783016538297
8	0.46420619889271264	0.33287947893016123	-0.40413168864615984
9	0.6109255125005288	0.28901812518995607	-0.6673215587438787
10	0.7470986908380455	0.2949216196811486	-0.6318976646830043
11	0.6982808322461979	0.3579389952896559	-0.2537621652969198
12	0.7242166697582202	0.3006705655331362	-0.5974011390867937
13	0.8471822489578813	0.5490175898335912	0.8928041439498264
14	0.9616394288840412	0.6805374567235459	1.681988556429717
15	0.8559561488236667	0.6050720416840013	1.2291586483796586
16	0.7729689567410892	0.5996722730986077	1.1967573595146326
17	0.6152541978037597	0.5418107857366763	0.8495597460381384
18	0.6521453252425775	0.47666074536674263	0.4586272006500907
19	0.6841192421602087	0.4869741248289432	0.5205125910783605
20	0.6648080435206016	0.5605612734773453	0.962071969485815
21	0.7744151709774602	0.5413893125859266	0.847030698155747
22	0.8285931489820928	0.5920445957593511	1.1509875134684517
23	0.6476692443015711	0.5486369602812646	0.8905201779093449
24	0.5587040086740822	0.5780250339944926	1.0668631915978792
25	0.5111841437493002	0.47208480403465075	0.4311692837809154
26	0.6007086844417984	0.3374797124377278	-0.37652800667941283
27	0.7114578891804635	0.3753497737667027	-0.14928886169540007
28	1.020145668465468	0.4229409806640817	0.13628197670837258
29	0.9198487296386816	0.6184212816936027	1.3092607073548639
30	0.5465931124509191	0.6155753011123665	1.2921834127525864
31	0.6832191608443576	0.6090949335072449	1.2532979939787006
32	0.8999598159021155	0.6215181520270004	1.3278434648680986
33	0.7291201302502235	0.5737964457610802	1.0414895655479295
34	0.7085187905941746	0.38320271672157846	-0.10216731026266308
35	0.7882273819517306	0.43144714599394013	0.1873231862764904
36	0.7975728378363146	0.5597539775340833	0.9572277935468771
37	0.6737365919361173	0.5485869325395332	0.8902199866538362
38	0.691664821479726	0.5414030425340349	0.8471130846520801
39	0.7774160619880814	0.5737720726937345	1.041343315059023
40	0.6430103596641272	0.5018832741375461	0.6099748792931868
41	0.6629338674395935	0.44255920366883106	0.25400104198736206
42	0.6777492935328769	0.35672952404560826	-0.2610195924500639
43	0.7221743916849016	0.36346530756904494	-0.22060155152410313
44	0.9650023085891566	0.5168815904544912	0.6999722137695036
45	0.9763082572476943	0.5623636989168164	0.9728874158143759
46	0.6248660880411537	0.5760556503717414	1.0550459133872132
47	0.4859696738809648	0.5691011716122604	1.0133155926099182
48	0.4584814224287514	0.5105512907601075	0.6619872768678118
49	0.48714051015181115	0.5118156143036021	0.669573845014905
50	0.4855174907090467	0.5962974003695334	1.176506449786162
51	0.5523031178426525	0.6529170311770289	1.5162523081896615
